KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000846001,T000846002,T000846003,T000846004,T000846005,T000846006,T000846007,T000846008,T000846009,T000846010,T000846011,T000846012,T000846013,T000846014,T000846015,T000846016,T000846017,T000846018,T000846019,T000846020,T000846021,T000846022,T000846023,T000846024,T000846025,T000846026,T000846027,T000846028,T000846029,T000846030,T000846031,T000846032,T000846033,T000846034,T000846035,T000846036,T000846037,T000846038,T000846039,T000846040,T000846041
,,,,Å@êlå˚ëçêî,Å@êlå˚ëçêîÅ@íj,Å@êlå˚ëçêîÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇQêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇRêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇSêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇTêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇUêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—ÇÃàÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃàÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@çÇóÓíPêgÇÃàÍî ê¢ë—êî,Å@çÇóÓïvïwÇÃÇ›ÇÃàÍî ê¢ë—êî
52397264,0,,,1402,675,727,138,68,70,1218,581,637,776,386,390,1155,546,609,442,195,247,183,71,112,6,3,3,584,584,141,221,115,74,24,5,4,428,385,43,33,297,3,73,104
52397265,0,,,656,327,329,44,21,23,608,303,305,379,207,172,582,289,293,229,96,133,100,41,59,3,2,1,278,278,83,92,54,29,12,5,3,194,160,34,10,160,2,44,33
52397270,0,,,2966,1455,1511,337,167,170,2629,1288,1341,1744,873,871,2478,1207,1271,885,415,470,342,153,189,3,2,1,1122,1121,197,401,263,184,52,21,3,913,819,94,91,547,13,89,220
52397271,0,,,2653,1278,1375,184,88,96,2451,1179,1272,1331,628,703,2349,1141,1208,1120,551,569,404,200,204,4,4,0,1017,1013,158,450,231,114,47,10,3,847,769,78,43,666,3,110,309
52397272,0,,,3489,1725,1764,473,241,232,2917,1417,1500,1910,988,922,2770,1329,1441,1007,429,578,484,196,288,14,10,4,1382,1376,393,396,274,224,61,20,8,960,852,108,120,613,93,140,191
52397273,0,,,663,321,342,84,41,43,556,269,287,360,174,186,528,256,272,196,95,101,86,39,47,4,3,1,255,253,52,85,56,41,14,5,0,193,180,13,32,125,0,31,44
52397274,0,,,4028,1960,2068,539,277,262,3417,1637,1780,2152,1064,1088,3232,1546,1686,1265,573,692,564,239,325,19,12,7,1583,1583,304,577,359,255,64,16,8,1259,1148,111,142,821,6,193,293
52397275,0,,,5050,2501,2549,526,275,251,4423,2168,2255,2683,1360,1323,4213,2060,2153,1740,808,932,796,338,458,17,10,7,2050,2043,520,697,420,287,82,26,11,1492,1290,202,123,1173,17,270,365
52397276,0,,,2624,1219,1405,315,155,160,2285,1052,1233,1524,764,760,2149,978,1171,761,288,473,435,128,307,19,5,14,987,985,253,334,173,163,37,15,10,718,649,69,90,388,26,88,147
52397277,0,,,1521,719,802,215,100,115,1289,613,676,893,438,455,1205,569,636,396,175,221,210,89,121,7,3,4,637,637,195,187,130,84,28,9,4,434,404,30,69,285,19,98,81
52397278,0,,,161,91,70,21,10,11,129,74,55,107,62,45,121,68,53,22,12,10,8,3,5,0,0,0,76,76,33,18,12,11,1,0,1,42,38,4,4,16,0,8,1
52397279,0,,,215,109,106,20,13,7,181,89,92,107,60,47,175,86,89,74,29,45,43,14,29,0,0,0,115,115,62,27,10,11,5,0,0,52,47,5,6,57,2,23,10
52397280,1,,52397291,973,481,492,63,33,30,983,463,520,621,304,317,911,426,485,362,159,203,193,73,120,2,0,2,341,341,39,132,75,54,32,10,2,302,264,38,7,179,0,27,74
52397281,0,,,116,56,60,15,7,8,95,46,49,58,28,30,91,44,47,37,18,19,14,6,8,2,1,1,42,42,8,15,9,4,2,3,1,32,24,8,5,24,0,5,8
52397282,0,,,531,262,269,44,23,21,481,235,246,298,151,147,465,228,237,183,84,99,75,30,45,0,0,0,189,189,24,62,51,38,8,4,2,163,133,30,10,124,0,18,30
52397283,0,,,91,26,65,0,0,0,89,24,65,3,0,3,89,24,65,86,24,62,78,20,58,0,0,0,6,5,3,1,0,1,0,0,0,2,2,0,0,3,0,1,1
52397284,0,,,542,242,300,51,22,29,491,220,271,259,130,129,463,205,258,232,90,142,140,45,95,0,0,0,148,146,20,61,30,25,9,1,0,126,113,13,11,80,0,12,30
52397285,0,,,1399,669,730,207,91,116,1190,578,612,799,389,410,1137,555,582,391,189,202,162,69,93,6,3,3,513,513,79,175,126,90,31,7,5,430,385,45,62,254,0,46,96
52397286,0,,,6870,3375,3495,944,477,467,5864,2861,3003,4072,2080,1992,5549,2697,2852,1792,781,1011,866,337,529,27,12,15,2694,2691,665,824,564,467,130,31,10,2004,1826,178,266,1150,66,285,352
52397287,0,,,12622,6158,6464,1747,886,861,10779,5211,5568,8045,4019,4026,10147,4909,5238,2734,1192,1542,1289,496,793,94,31,63,5290,5288,1596,1501,1056,912,188,27,8,3647,3405,242,544,1880,198,576,567
52397288,0,,,10307,5020,5287,1318,673,645,8926,4297,4629,6049,3038,3011,8507,4108,4399,2877,1259,1618,1403,523,880,93,42,51,4391,4386,1463,1270,839,591,173,37,13,2897,2661,236,402,1832,170,559,538
52397289,0,,,2871,1426,1445,272,143,129,2584,1271,1313,1619,845,774,2461,1210,1251,965,426,539,446,169,277,10,2,8,1117,1117,278,323,245,178,65,22,6,832,682,150,62,644,13,146,157
52397290,0,,,270,126,144,26,14,12,241,112,129,163,77,86,229,106,123,78,35,43,32,10,22,1,0,1,102,102,31,26,16,12,11,6,0,68,45,23,5,54,2,6,10
52397291,2,52397280,,87,23,64,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52397292,2,52397293,,13,6,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
52397293,1,,52397292,594,300,294,69,33,36,527,265,262,353,186,167,500,252,248,174,79,95,83,38,45,0,0,0,212,211,47,55,51,41,12,6,2,164,131,33,17,110,3,22,27
52397294,0,,,7967,3911,4056,906,459,447,7003,3417,3586,4599,2363,2236,6550,3165,3385,2404,1054,1350,1119,428,691,41,10,31,3027,3009,922,864,584,433,159,37,10,2048,1874,174,263,1280,115,351,406
52397295,0,,,8607,4188,4419,1137,575,562,7375,3559,3816,5253,2587,2666,6918,3335,3583,2122,972,1150,800,342,458,106,49,57,3513,3509,936,1107,731,534,149,38,14,2533,2351,182,357,1415,104,315,457
52397296,0,,,7156,3535,3621,801,435,366,6287,3056,3231,4234,2170,2064,5978,2902,3076,2053,886,1167,1091,421,670,37,15,22,3017,3013,1048,812,551,424,132,35,11,1937,1717,220,218,1297,148,366,343
